nome,tecnologia,outrosDetalhes
"Desenvolvedor(a) Front-end Sênior,NOVA","CSS,JavaScript,Angular","Recargo,Remoto,Startup,Até R$12.000,Sênior,CLT,Aceita candidatos de fora"
"(RESIDENTE) Desenvolvedor(a) .Net, Entity, C#,NOVA","ASP.NET MVC,C#,Entity framework","Ministério Público Militar,Brasília, Distrito Federal, Brasil,Pequena/média empresa,Até R$3.500,Júnior,Estágio,Aceita candidatos de fora"
"Desenvolvedor(a) React Native/iOS Sênior,NOVA","Git,iOS,JavaScript,React Native,Swift","Conceptu - Protótipos e Sistemas,Remoto,Pequena/média empresa,Sênior,CLT / PJ,Aceita candidatos de fora"
"Desenvolvedor(a) Sênior (Híbrido),NOVA","CSS,HTML,JavaScript","AXXISPAY INSTITUICAO DE PAGAMENTOS LTDA.,Campinas, São Paulo, Brasil,Pequena/média empresa,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
"Desenvolvedor(a) Full Stack Sênior,NOVA","Administrador de sistema,Android,Java","Korpay,São Paulo, São Paulo, Brasil,Pequena/média empresa,Sênior,CLT / PJ,Aceita candidatos de fora"
"Analista Desenvolvedor(a) .Net (Fullstack) Pleno,NOVA","Angular,API,C#,.NET Core,RESTful","Interligados,Remoto,Startup,Até R$6.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Desenvolvedor(a) C# Júnior (Processo Seletivo Academia de Talentos) ,NOVA","C#,Git,SQL","AlfaPeople Brasil,Remoto,Pequena/média empresa,Até R$3.000,Júnior,CLT,Aceita candidatos de fora"
Desenvolvedor(a) Full Stack Sênior,"Laravel,MySQL,PHP,Vue.js","Inklo,Remoto,Startup,Até R$8.000,Sênior,PJ,Aceita candidatos de fora"
Desenvolvedor(a) Backend Mobile com Node.JS/Typescript - Sênior,"Node.js,Testes unitários,TypeScript,API,AWS EC2 (Elastic Compute Cloud),AWS RDS (Relational Database Service)","Rubcube,Remoto,Startup,Até R$15.000,Sênior,PJ,Aceita candidatos de fora"
Analista de Suporte TI - Integração de sistemas,"Google Analytics,HTML,JavaScript","Actionpay,Rio de Janeiro, Rio de Janeiro, Brasil,Pequena/média empresa,Até R$2.000,Pleno,CLT,Aceita candidatos de fora"
Estágio em Desenvolvimento de Software,"CSS,HTML,JavaScript","Calindra,Rio de Janeiro, Rio de Janeiro, Brasil,Pequena/média empresa,Até R$2.000,Júnior,Estágio,Não aceita candidatos de fora"
Programador(a) C# Júnior,"C#,MVC,.NET,SQL Server","CONSIGLOG TECNOLOGIA E SOLUÇÕES LTDA,São Paulo, São Paulo, Brasil,Pequena/média empresa,Júnior,CLT,Aceita candidatos de fora"
 Desenvolvedor(a) de Sistemas C# - Pleno,"C#,TDD,UML","Consys Tecnologia,Remoto,Pequena/média empresa,Pleno,PJ,Aceita candidatos de fora"
Dev Pleno Especialista em Flutter e Mobile,"Dart,Figma,Flutter,HTML","Flowih,Remoto,Startup,Até R$18.000,Pleno,PJ,Aceita candidatos de fora"
Desenvolvedor(a) Wordpress Sênior ,"WordPress,PHP,API,Bootstrap,Git,Testes unitários","VitaminaWeb,Remoto,Pequena/média empresa,Sênior,PJ,Aceita candidatos de fora"
